date,champion,kills,deaths,assists,barons,dragons,firstBlood,firstTower,win
2024-02-11 18:26:36.425,Yasuo,12,4,2,0,0,True,False,1
2024-02-10 19:50:54.440,Yone,1,0,0,0,0,True,False,1
2024-02-04 19:48:54.042,Yone,1,2,0,0,0,False,False,0
2024-02-04 19:01:11.065,Akali,14,1,6,0,0,False,False,1
2024-02-04 17:58:00.267,Yasuo,12,2,3,0,0,False,True,1
2024-02-04 16:49:18.781,Yone,13,9,1,0,0,False,True,0
2023-11-24 20:07:55.690,Yone,1,4,0,0,0,False,False,0
2023-11-24 19:43:14.536,Akali,2,2,1,0,0,False,False,0
2023-11-16 05:35:36.539,Jhin,20,5,13,0,0,False,False,1
2023-11-16 04:53:41.714,Brand,10,9,18,0,0,False,False,0
2023-11-16 04:24:53.256,Jhin,4,4,12,0,0,False,False,1
2023-11-16 04:03:24.507,Illaoi,1,4,7,0,0,False,False,0
2023-11-16 03:29:44.830,TwistedFate,2,4,18,0,0,False,False,1
2023-11-16 03:07:48.572,Brand,1,4,4,0,0,False,False,0
2023-11-16 02:35:01.656,KogMaw,10,6,21,0,0,False,False,1
2023-11-16 01:49:11.215,KogMaw,35,3,16,0,0,False,False,1
2023-11-16 01:15:39.911,KogMaw,14,1,20,0,0,False,False,1
2023-11-16 00:29:42.860,Jhin,15,6,31,0,0,False,False,1
2023-11-16 00:07:06.784,Jhin,5,4,7,0,0,False,False,0
2023-11-15 23:39:30.830,TwistedFate,4,4,13,0,0,False,False,1
2023-11-15 23:11:49.646,Nami,0,5,20,0,0,False,False,1
2023-11-15 22:39:35.486,Jhin,6,3,15,0,0,False,True,1
2023-11-15 22:16:44.482,Jhin,2,3,7,0,0,False,False,0
2023-11-15 21:43:21.713,TwistedFate,4,5,14,0,0,False,False,0
2023-11-15 21:17:38.538,Jhin,7,5,10,0,0,False,False,0
2023-11-15 20:53:30.988,Jhin,0,0,0,0,0,False,False,1
2023-11-15 20:14:54.764,Jhin,9,7,18,0,0,False,False,1
2023-11-15 19:49:32.693,Zoe,1,5,3,0,0,False,False,1
2023-11-15 19:19:32.776,Nami,3,5,18,0,0,False,False,1
2023-11-15 18:51:56.097,Jhin,1,4,3,0,0,False,False,1
